description,unit
"Whiting two coats to ceiling including cost of gum, gunjee water labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including putty, cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges, all taxes such as finished item of work as directed by the Engineer-in-Charge. For AC sheet ceilling",
"Construction of binding wall in brick masonry in CM 1:6 Prop.to a thickness of 1' 1/2"" X 0' 9"" and cement plastering to sides in CM 1:6 Prop. 1/2"" thick including scaffolding, lift charges, seigniorage charges including cost and conveyance of all labour and materials at site work complete as directed by the Engineer-in-Charge. Over Ac sheet",
"Providing plain Cement Concrete (1:2:4) using 330 kgs of cement with a minimum strength of M20 grade using 20mm gauge hard granite machine crushed metal including labour charges for machine mixing, centering, laying concrete, compacting, vibrating, rendering, fine finishing, curing, conforming to IS 456-1978 including all incidental, operational, scaffolding and seigniorage charges, cost and conveyance of all materials and labour, at site of work complete as directed by the Engineer-in-Charge. For drain",
"Painting with interior emulsion paint two coats to walls with approved colour and quality including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge. For long walls Middle wall West side wall East side wall both and toilets",
"Painting with extreial emulsion paint two coats to walls with approved colour and quality including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge. West side wall East side wall Binding wall",
"Supply & fixing of GI sheet rain water gutter of 'U' shape with 0.40mm thick 120GSM GI sheet including labour charges for wrought and put up fixing in position scaffolding, cost of rivetts and nuts hire charges of T&P including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. For AC Sheet Toilet",
"Transportation of excavated earth and debris material to a distance of 5.00 Km. away from site including loading, unloading cost and cnveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. As per item (6)",
"Supply & fixing of 28.60 mm dia Ball valve including cost of gum etc., including cost and conveyance of all labour and materials at site of work complete as directed. For toilets",
"Supply, fixing of following PVC/SWR pipes of approved make and specials including labour charges for fixing as per standard practice including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. For toilets and bath 110 mm dia PVC /SWR pipe 4kgf/cm2 110 mm dia PVC 'T' 110 mm dia PVC 'L' 110 mm dia PVC 'Coupler' 110 mm dia PVC vent cowl 110 mm dia GI clamps 75 mm dia PVS/SWR pipe 75 mm dia PVS 'T' 75 mm dia PVS 'L' 75 mm dia PVS coupler 75 mm dia vent cowl 75 mm dia GI clamps 4'' dia Nahani trap with CP jalli",
Supply and fixing 12.07 mm NP bib tap indian make havy duty including cost and conveyance of all labour and materials at site of work complete. For toilets and both,
