description,unit
"Supply and fixing european water closet of first quality hindustan/nycer or parrywere make glazed with 'P' trap with plastic cover, PVC flush tank 10 lts capacity including 12.70 mm PVC conector 12.70 mm NP angle stop card cost and conveyance of all labour at site of work complete. For toilets",
Supply and fixing of bib cock cum health faucet with one meter tub and wall hook of jaguar continental series chrome finishing with 7 years warranty including cost and conveyance of all labour and materials at site of work complete. For toilets,
"Supply and fixing indian make flat back wall hand basine first quality with waste fixing like rubber plug, chine,32 mm nominal size C.P.fitting with parallei pipe thread and fitted with 15 mm nominal bore chromium plated pillar trap of 1 qulity indian make 400 grams seiko/senior/nice/ esso or equivalent complete including 12.70 mm PVC conector,12.70 mm angle stop cock,13.70 mm PVC flexible waste water pipe and equivalent wit standard CI brackets including wooden blocks 550 x 400 mm cost and conveyance of all labour and materials at site of work complete. For toilets",
Supply and fixing 19.04 mm dia & 609.6 mm long aluminium anodized towel rod with brackets and aluminium screws including cost and cinveyance of all labour and material at site of work complete. For toilets and bath,
supply and fixing NP soap dish heavy type with NP screw including cost and conveyance of all labour and materials at site of work complete. Fro toilet and bath room,
Supply and fixing of PV shape mirror with plastic frame of size 609.60 mm into 457.20 mm including cost and conveyance of all labour and materials at site of work complete. For toilets and bath room,
Providing 4'-0'' dia leach pit for 6'-0'' ht using R.C.C pre casting of 4'-0'' dia 6 no's and providing R.C.C precast covers 110 mm dia SWR vent pipe for 10'-0'' length including earth work excavation cost of trasportation of rings and cover to the site grouing the joints with cement mortar and fixing the sides of the pit with exavated soil cost of rope and other materials and T & P required cost and conveyance of all labour and materials and all incidental operational hire charges like mixing cement mortar curing etc… complete as finished item of work. For toilets,
"Construction of 450x450 mm inspection chamber upto 904.00 mm hite with brick masonary to CM 1:6 pro. With R.C.C cover of 75 mm thick including exavation P.C.C 1:5:10, 100 mm thick using 40 mm gauge HBG metal P.C.C 1:2:4 for benching and chamber 50 mm thick ,plastering 20 mm thick in CM 1:3 pro and 12 mm thick CM 1:3 pro,curing,steel cost and conveyance of all labour and materials at site of work complete. For toilets",
Supply and fixing the fallowing fixers including cost and coveyance of all labour and materials at site of work complete. For toilets doors A) Alluminium handle 150 mm long B) Aluminium tower bolts 200 mm long C)Aluminium all drop 300 mm long D) Aluminium hinges 100 mm long Nellore Dist. Particulars,
"Providing and laying of mechanically mixed unreinforced plain cement concrete pavement 200 / 150mm thick over a prepared (IS 12269) Cement for one Cubic Meter Cement Concrete quantity. The course and fine aggregate shall confriming to IS 383.The CC shall be laid in panels upto size 3.50M x 3.50M in line and level or slope, using admixture of approved quality at 0.50% by weight of cement. The Cement concrete shall be laid along approved fixed side steel form work, laying of seperation membrane of 125 micron thick polythene film between concrete slab and sub base duly fixing the membrane using wedges & steel plates and leveling the form work, machine mixing, spreading the concrete, compacted with needle plate and screed board vibrators for fine finishing to even surface and making grooves of 6mm x 50mm by using concrete joint cutting machine for intial & final cuts for Transverse / Contraction,racking the joints, applying debonding strips and providing departmental premoulded filler mastic pads of 12.70mm thick for a depth of 137.50mm for expansion joints for every 31.50mts distance and rounding off edges for transverse / Cntraction & Expansion joints after filling the joints with bitumen sealent along with bitumen primer as approved by the site incharge and using air compressor before and laying membnrace and after laying concrete and curing for 14 days including cost of all material including jute ropes etc. cost of all incidental, hire and operational charges of al machinery, cost of fuel, heating charges and tools & plants, seigniorage charges, cost for form work, cost of water for curing and concrete laying etc., complete as directed by the Engineer-in-charge. East - Northen side of garage In frent of garage",
"Providing, laying,spreding and compacting of stone crusher dust finer than 3.00 mm (0.075 seive passing < 10%) including spreding of the dust irrespective of the thicknees,laying in uniform thickness on well prepared surface and compacting with hand roller rolling as directed by Engineer-In-Charge all incidental operational, hire charges and crew charges of hand roller cost and conveyance of all labour and materials at site of work complete for finishe item of work as directed East - Northen side of garage Near drain",
"Removing of damaged plain cement concrete up to 150 mm thick and disposing the debris to a far off distance, all incidental and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Ditches east and north side",
"Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared deta for roads and bridges). In frent of garage Ditches east and north side",
Cutiing the cc pavement with power drilling machine including restacking the usefull material hire charges of tools cost and conveyance of all labour and materials at site of work complete North and south side,
Supply of mastic pad 12 mm thick approve make including cost and conveyance of all labour and materials at site of work complete as dierected by the Engineer- In - charge. East to west side,
"Providing barricading the construction area with casuarina ballies at 5' 0'' height verticlas 6' 0'' ballies 10' 0'' c/c and horizental 2 no's including hire charges of casuarina ballies, cost of coconut threds for tying the ballies, hire charges of tools, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. North, south side and west side",
"Dry rolling with 10 tonnes rollar including hire charges, fueal charges and crew charges cost and conveyance of all labour and materials at site of work complete. For yard",
